!
43243
dfdsf
fdsfdsfffffffffffffffffffffffffffffffffffffffffffffffddsfdsfdsdsfsdfdsfdssdfsdfsfd
fdsf
sfddsf
!

ind	x       y        z
173 70.7781 -214.0049 651.7480
174 -0.0000 -217.1876 657.0058
175 -70.7781 -214.0049 651.7481
176 -137.4096 -205.7583 636.5963
177 -195.7599 -195.7599 612.5257
178 0.0000 496.7976 -0.0000
179 96.9204 487.2518 -0.0000
180 190.1162 458.9811 -0.0000
181 276.0060 413.0721 -0.0000
182 351.2889 351.2889 -0.0000
183 413.0721 276.0060 -0.0000
184 458.9811 190.1162 -0.0000
185 487.2518 96.9204 -0.0000
186 496.7976 -0.0000 -0.0000
187 487.2518 -96.9204 -0.0000
188 458.9812 -190.1162 -0.0000
189 413.0721 -276.0059 -0.0000
190 351.2890 -351.2889 -0.0000
191 276.0060 -413.0721 -0.0000
192 190.1162 -458.9811 -0.0000
193 96.9204 -487.2518 -0.0000
194 -0.0000 -496.7976 -0.0000
195 -96.9204 -487.2518 -0.0000
196 -190.1162 -458.9811 -0.0000
197 -276.0060 -413.0721 -0.0000
198 -351.2889 -351.2890 -0.0000
199 -413.0721 -276.0060 -0.0000
200 -458.9811 -190.1163 -0.0000
201 -487.2518 -96.9204 -0.0000
202 -496.7976 0.0000 -0.0000
203 -487.2518 96.9204 -0.0000
204 -458.9811 190.1163 -0.0000
205 -413.0721 276.0059 -0.0000
206 -351.2890 351.2889 -0.0000
207 -276.0060 413.0721 -0.0000
208 -190.1162 458.9812 -0.0000
209 -96.9204 487.2518 -0.0000
210 24.3765 496.1981 -0.0000
211 48.6945 494.4034 -0.0000
212 72.8953 491.4194 -0.0000
213 57.9338 381.2542 379.2076
214 38.7073 383.4508 379.3157
215 19.3790 384.7719 379.3834
216 0.0000 464.1483 110.6864
217 0.0000 433.4002 214.9177
218 0.0000 406.4548 306.2392
219 80.6562 398.9252 306.2392
220 85.4444 425.2591 214.9177
221 90.9924 455.3229 110.6864
222 120.7116 481.9082 -0.0000
223 144.2122 475.4038 -0.0000
224 167.3658 467.7557 -0.0000
225 132.8141 363.8199 378.4621
226 114.4975 369.4608 378.6839
227 95.8790 374.2527 378.8864
228 158.0146 376.5932 306.2392
229 167.4774 401.1244 214.9177
230 178.4255 429.1732 110.6864
231 212.4078 449.0988 -0.0000
232 234.1879 438.1347 -0.0000
233 255.4046 426.1165 -0.0000
234 202.0974 332.9442 377.5285
235 185.4666 341.8917 377.7515
236 168.3458 350.0262 377.9878
237 228.8927 340.1043 306.2392
238 242.8096 361.7801 214.9177
239 258.8716 386.6320 110.6864
240 295.9412 399.0307 -0.0000
241 315.1638 384.0282 -0.0000
242 333.6282 368.1018 -0.0000
243 262.8573 289.2414 376.9495
244 248.6111 301.3257 377.0317
245 233.7107 312.6483 377.1603
246 290.3806 290.3806 306.2392
247 308.4211 308.4212 214.9177
248 329.1764 329.1764 110.6864
249 368.1019 333.6282 -0.0000
250 384.0282 315.1638 -0.0000
251 399.0307 295.9412 -0.0000
252 312.6484 233.7107 377.1603
253 301.3257 248.6111 377.0317
254 289.2414 262.8573 376.9495
255 340.1044 228.8927 306.2392
256 361.7802 242.8096 214.9177
257 386.6320 258.8716 110.6864
258 426.1165 255.4045 -0.0000
259 438.1347 234.1878 -0.0000
260 449.0988 212.4078 -0.0000
261 350.0263 168.3458 377.9878
262 341.8917 185.4666 377.7515
263 332.9442 202.0974 377.5285
264 376.5932 158.0146 306.2392
265 401.1244 167.4774 214.9177
266 429.1733 178.4255 110.6864
267 467.7558 167.3658 -0.0000
268 475.4038 144.2122 -0.0000
269 481.9081 120.7116 -0.0000
270 374.2527 95.8790 378.8864
271 369.4608 114.4975 378.6839
272 363.8199 132.8142 378.4621
273 398.9252 80.6562 306.2392
274 425.2590 85.4444 214.9177
275 455.3229 90.9924 110.6864
276 491.4194 72.8953 -0.0000
277 494.4035 48.6945 -0.0000
278 496.1981 24.3765 -0.0000
279 384.7719 19.3790 379.3834
280 383.4508 38.7073 379.3157
281 381.2542 57.9338 379.2076
282 406.4548 -0.0000 306.2392
283 433.4002 -0.0000 214.9177
284 464.1483 -0.0000 110.6864
285 496.1981 -24.3765 -0.0000
286 494.4034 -48.6945 -0.0000
287 491.4194 -72.8953 -0.0000
288 381.2542 -57.9338 379.2076
289 383.4508 -38.7073 379.3157
290 384.7719 -19.3790 379.3834
291 398.9252 -80.6562 306.2392
292 425.2591 -85.4444 214.9177
293 455.3229 -90.9924 110.6864
294 481.9082 -120.7116 -0.0000
295 475.4038 -144.2122 -0.0000
296 467.7557 -167.3658 -0.0000
297 363.8199 -132.8141 378.4621
298 369.4608 -114.4975 378.6839
299 374.2527 -95.8790 378.8864
300 376.5932 -158.0146 306.2392
301 401.1244 -167.4774 214.9177
302 429.1732 -178.4254 110.6864
303 449.0988 -212.4077 -0.0000
304 438.1347 -234.1878 -0.0000
305 426.1165 -255.4045 -0.0000
306 332.9442 -202.0974 377.5285
307 341.8917 -185.4666 377.7515
308 350.0262 -168.3458 377.9878
309 340.1044 -228.8927 306.2392
310 361.7801 -242.8096 214.9177
311 386.6320 -258.8715 110.6864
312 399.0307 -295.9412 -0.0000
313 384.0282 -315.1638 -0.0000
314 368.1018 -333.6282 -0.0000
315 289.2414 -262.8573 376.9495
316 301.3257 -248.6111 377.0317
317 312.6483 -233.7107 377.1603
318 290.3806 -290.3806 306.2392
319 308.4212 -308.4211 214.9177
320 329.1764 -329.1764 110.6864
321 333.6282 -368.1019 -0.0000
322 315.1638 -384.0282 -0.0000
323 295.9412 -399.0307 -0.0000
324 233.7107 -312.6484 377.1603
325 248.6111 -301.3257 377.0317
326 262.8573 -289.2414 376.9495
327 228.8927 -340.1044 306.2392
328 242.8096 -361.7802 214.9177
329 258.8716 -386.6320 110.6864
330 255.4045 -426.1165 -0.0000
331 234.1878 -438.1347 -0.0000
332 212.4078 -449.0988 -0.0000
333 168.3458 -350.0263 377.9878
334 185.4667 -341.8917 377.7515
335 202.0975 -332.9442 377.5285
336 158.0146 -376.5932 306.2392
337 167.4774 -401.1244 214.9177
338 178.4255 -429.1733 110.6864
339 167.3658 -467.7558 -0.0000
340 144.2122 -475.4038 -0.0000
341 120.7116 -481.9082 -0.0000
342 95.8790 -374.2527 378.8864
343 114.4975 -369.4608 378.6839
344 132.8142 -363.8199 378.4621
345 80.6562 -398.9252 306.2392
346 85.4444 -425.2590 214.9177
347 90.9924 -455.3229 110.6864
348 72.8953 -491.4194 -0.0000
349 48.6945 -494.4035 -0.0000
350 24.3765 -496.1981 -0.0000
351 19.3790 -384.7719 379.3834
352 38.7073 -383.4508 379.3157
353 57.9338 -381.2542 379.2076
354 -0.0000 -406.4548 306.2392
355 -0.0000 -433.4002 214.9177
356 -0.0000 -464.1483 110.6864
357 -24.3765 -496.1981 -0.0000
358 -48.6945 -494.4035 -0.0000
359 -72.8953 -491.4194 -0.0000
360 -57.9338 -381.2542 379.2076
361 -38.7073 -383.4508 379.3157
362 -19.3791 -384.7719 379.3834
363 -80.6562 -398.9252 306.2392
364 -85.4444 -425.2591 214.9177
365 -90.9924 -455.3229 110.6864
366 -120.7116 -481.9082 -0.0000
367 -144.2121 -475.4038 -0.0000
368 -167.3658 -467.7557 -0.0000
369 -132.8141 -363.8199 378.4621
370 -114.4975 -369.4608 378.6839
371 -95.8790 -374.2527 378.8864
372 -158.0146 -376.5932 306.2392
373 -167.4774 -401.1244 214.9177
374 -178.4255 -429.1732 110.6864
375 -212.4078 -449.0988 -0.0000
376 -234.1879 -438.1347 -0.0000
377 -255.4046 -426.1165 -0.0000
378 -202.0974 -332.9442 377.5285
379 -185.4666 -341.8917 377.7515
380 -168.3458 -350.0262 377.9878
381 -228.8927 -340.1043 306.2392
382 -242.8097 -361.7801 214.9177
383 -258.8716 -386.6320 110.6864
384 -295.9412 -399.0307 -0.0000
385 -315.1638 -384.0282 -0.0000
386 -333.6282 -368.1019 -0.0000
387 -262.8572 -289.2414 376.9495
388 -248.6111 -301.3257 377.0317
389 -233.7107 -312.6483 377.1603
390 -290.3806 -290.3806 306.2392
391 -308.4211 -308.4212 214.9177
392 -329.1764 -329.1764 110.6864
393 -368.1018 -333.6283 -0.0000
394 -384.0282 -315.1639 -0.0000
395 -399.0307 -295.9413 -0.0000
396 -312.6483 -233.7107 377.1603
397 -301.3257 -248.6111 377.0317
398 -289.2414 -262.8573 376.9495
399 -340.1043 -228.8928 306.2392
400 -361.7801 -242.8097 214.9177
401 -386.6320 -258.8716 110.6864
